MergeSort;Sorted;Random;BackwardSorted;SortedRandomFirst;BackwardSortedRandomLast;
100;0;0.001;0;0;0.001;
200;0.001;0;0.001;0.001;0.001;
300;0.001;0.001;0.001;0.002;0.001;
400;0.001;0.002;0.001;0.001;0.002;
500;0.002;0.002;0.002;0.002;0.001;
600;0.003;0.002;0.003;0.002;0.003;
700;0.003;0.002;0.003;0.003;0.003;
800;0.003;0.004;0.003;0.003;0.003;
900;0.004;0.003;0.004;0.003;0.006;
1000;0.005;0.01;0.004;0.004;0.004;
1100;0.004;0.005;0.005;0.004;0.005;
1200;0.006;0.005;0.005;0.005;0.005;
1300;0.005;0.006;0.005;0.006;0.005;
1400;0.006;0.006;0.006;0.005;0.015;
1500;0.007;0.006;0.006;0.005;0.006;
1600;0.006;0.006;0.007;0.007;0.006;
1700;0.007;0.007;0.007;0.006;0.007;
1800;0.007;0.013;0.006;0.008;0.007;
1900;0.007;0.008;0.007;0.007;0.009;
2000;0.012;0.01;0.011;0.009;0.009;
2100;0.017;0.011;0.023;0.012;0.012;
